Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Squadra,Field Position,Esito,Piede,Chi,Casella di gruppo
Laterale (25),0:16:37.720,0:00:07.000,23/01/2025,Laterale,,mattia,ricky,diego jr,fabri,Loro,0,,,,
Parata (1),0:16:57.560,0:00:10.000,23/01/2025,Parata,,mattia,ricky,diego jr,fabri,Noi,,,,,
Angolo (6),0:17:05.120,0:00:08.000,23/01/2025,Angolo,,mattia,ricky,diego jr,fabri,Loro,,,,,
Laterale (26),0:17:18.960,0:00:07.000,23/01/2025,Laterale,,mattia,ricky,diego jr,fabri,Noi,4,,,,
Tiro (15),0:17:24.920,0:00:07.000,23/01/2025,Tiro,,mattia,ricky,diego jr,fabri,Noi,4,Ribattuto,Sx,mattia,
Laterale (27),0:17:30.400,0:00:07.000,23/01/2025,Laterale,giovi,mattia,ricky,diego jr,fabri,Noi,4,,,,
Tiro (16),0:17:32.480,0:00:07.000,23/01/2025,Tiro,giovi,mattia,ricky,diego jr,fabri,Noi,2,Ribattuto,Dx,ricky,
Laterale (28),0:19:11.320,0:00:07.000,23/01/2025,Laterale,giovi,mattia,azza,diego jr,fabri,Loro,0,,,,
Lancio (4),0:19:24.320,0:00:10.000,23/01/2025,Lancio,giovi,mattia,azza,diego jr,fabri,Noi,,Intercetto,,,
Laterale (29),0:19:39.480,0:00:07.000,23/01/2025,Laterale,giovi,mattia,azza,diego jr,fabri,Loro,1,,,,
Palla recuperata (6),0:19:45.840,0:00:10.000,23/01/2025,Palla recuperata,giovi,mattia,azza,diego jr,fabri,,2,Tiro,,mattia,
Tiro (17),0:19:49.760,0:00:07.000,23/01/2025,Tiro,giovi,mattia,azza,diego jr,fabri,Noi,2,Ribattuto,Dx,azza,
Laterale (30),0:19:55.200,0:00:07.000,23/01/2025,Laterale,giovi,mattia,azza,diego jr,fabri,Loro,0,,,,
Laterale (31),0:20:16.040,0:00:07.000,23/01/2025,Laterale,giovi,mattia,azza,diego jr,fabri,Loro,3,,,,
Laterale (32),0:20:29.000,0:00:07.000,23/01/2025,Laterale,giovi,mattia,azza,diego jr,fabri,Noi,0,,,,
Tiro (18),0:20:37.160,0:00:07.000,23/01/2025,Tiro,giovi,mattia,azza,diego jr,fabri,Noi,5,Ribattuto,Sx,mattia,
Tiro (19),0:20:45.520,0:00:07.000,23/01/2025,Tiro,giovi,mattia,azza,diego jr,fabri,Loro,6,Fuori,Dx,,
Angolo (7),0:21:10.960,0:00:08.000,23/01/2025,Angolo,giovi,mattia,azza,diego jr,fabri,Noi,9,,,,
Tiro (20),0:21:13.960,0:00:07.000,23/01/2025,Tiro,giovi,mattia,azza,diego jr,fabri,Noi,3,Ribattuto,Dx,fabri,
Lancio (5),0:21:20.080,0:00:10.000,23/01/2025,Lancio,giovi,mattia,diego jr,fabri,azza,Noi,,Fuori,,,
Laterale (33),0:21:40.280,0:00:07.000,23/01/2025,Laterale,giovi,mattia,diego jr,fabri,azza,Noi,0,,,,
Lancio (6),0:22:30.680,0:00:10.000,23/01/2025,Lancio,giovi,mattia,diego jr,fabri,azza,Loro,,,,,
Tiro (21),0:22:36.400,0:00:07.000,23/01/2025,Tiro,giovi,mattia,diego jr,fabri,azza,Loro,9,Parata,Dx,,
Angolo (8),0:23:15.320,0:00:08.000,23/01/2025,Angolo,giovi,diego jr,fabri,azza,nico estratti,Loro,,,,,
Lancio (7),0:23:26.120,0:00:10.000,23/01/2025,Lancio,giovi,diego jr,fabri,azza,nico estratti,Noi,,Fuori,,,
Laterale (34),0:23:34.000,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,nico estratti,Loro,0,,,,
Laterale (35),0:23:47.120,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,nico estratti,Noi,1,,,,
Tiro (22),0:23:57.560,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,azza,nico estratti,Noi,5,Ribattuto,Dx,azza,
Laterale (36),0:24:05.880,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,nico estratti,Noi,6,,,,
Tiro (23),0:24:09.920,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,azza,nico estratti,Noi,5,Fuori,Dx,azza,
Laterale (37),0:24:33.600,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,nico estratti,Loro,1,,,,
Laterale (38),0:25:05.800,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,nico estratti,Noi,0,,,,
Integrazione portier (2),0:25:11.720,0:00:10.000,23/01/2025,Integrazione portier,giovi,diego jr,fabri,azza,nico estratti,Noi,,,,,
Fallo (3),0:25:25.800,0:00:04.000,23/01/2025,Fallo,giovi,diego jr,fabri,azza,nico estratti,Noi,0,,,azza,
Punizione (3),0:25:47.200,0:00:06.000,23/01/2025,Punizione,giovi,diego jr,fabri,azza,nico estratti,Loro,0,,,,
Laterale (39),0:26:01.680,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,nico estratti,Noi,0,,,,
